Time (ms),AccelX (m/s²),AccelY (m/s²),AccelZ (m/s²),GyroX (rad/s),GyroY (rad/s),GyroZ (rad/s),Temperature(C),Pressure (Pa),Altitude(m)
1055,0.03,-0.01,9.8,0.001,0.002,-0.001,24.5,100800,40.05
2057,0.01,0.02,9.82,-0.002,0,0.003,24.52,100805,39.63
3059,-0.02,0,9.79,0.001,-0.001,0,24.51,100795,40.47
4061,0.45,-0.33,0.45,-0.45,0.32,0.15,24.48,100890,32.55
5063,-0.82,0.91,0.21,0.82,-0.65,-0.22,24.45,101050,19.2
6065,1.21,-0.55,0.35,-1.25,0.91,0.41,24.42,101210,5.85
7067,15.5,-12.2,72.5,3.5,-2.8,4.1,24.55,101285,-0.42
8069,0.04,-0.03,9.83,0.002,-0.001,0.003,24.8,101280,0
9071,-0.02,0.01,9.78,-0.001,0.002,-0.002,24.82,101275,0.42
10073,0.01,-0.02,9.81,0.003,0,0.001,24.85,101282,-0.17
11075,-0.03,0.04,9.8,-0.002,-0.003,0,24.83,101278,0.17
12077,0.02,-0.01,9.82,0.001,0.001,-0.001,24.86,101285,-0.42
13079,0,0.02,9.79,0,-0.001,0.002,24.88,101277,0.25
14081,-0.01,0,9.81,-0.001,0.002,0,24.9,101281,-0.08
15083,0.03,-0.03,9.83,0.002,-0.003,-0.003,24.89,101283,-0.25
16085,0.01,0.01,9.8,-0.003,0.001,0.001,24.92,101279,0.08
