Time (ms),AccelX (m/s²),AccelY (m/s²),AccelZ (m/s²),GyroX (rad/s),GyroY (rad/s),GyroZ (rad/s),Temperature(C),Pressure (Pa),Altitude(m)
1024,0.02,-0.01,9.81,0.001,-0.001,0,25.12,101280,0
2025,0.01,0.02,9.8,0,0.002,-0.001,25.15,101282,-0.17
3026,-0.03,0,9.82,-0.002,0,0.002,25.13,101278,0.17
4028,0,-0.03,9.79,0.001,-0.003,0,25.18,101285,-0.42
5029,0.04,0.01,9.83,0.003,0.001,-0.002,25.16,101275,0.42
6031,0.01,-0.01,9.81,0,-0.001,0.001,25.14,101281,-0.08
7032,-0.02,0.04,9.78,-0.001,0.002,-0.001,25.19,101283,-0.25
8034,0,-0.02,9.82,0.002,-0.001,0.003,25.17,101277,0.25
9035,0.03,0,9.8,-0.001,0,-0.002,25.15,101280,0
10037,-0.01,0.03,9.81,0,0.003,0.001,25.2,101284,-0.33
11038,0.02,-0.01,9.83,0.001,-0.002,0,25.18,101276,0.33
12040,0,0.01,9.79,-0.002,0.001,-0.001,25.16,101282,-0.17
13041,-0.02,-0.02,9.81,0.003,-0.001,0.002,25.21,101279,0.08
14043,0.01,0,9.8,0,0,0,25.19,101286,-0.5
15044,0.03,0.04,9.82,-0.001,0.002,-0.003,25.17,101274,0.5
16046,0,-0.03,9.78,0.002,-0.003,0.001,25.22,101281,-0.08
17047,-0.01,0.01,9.81,-0.001,0.001,-0.001,25.2,101283,-0.25
18049,0.02,0,9.8,0,-0.001,0.002,25.18,101278,0.17
19050,-0.03,-0.02,9.83,0.001,0.002,0,25.23,101280,0
20052,0.01,0.03,9.79,-0.002,-0.001,-0.002,25.21,101285,-0.42
21053,0,-0.01,9.82,0.003,0,0.001,25.19,101277,0.25
22055,0.04,0.02,9.81,0,0.003,-0.001,25.24,101282,-0.17
23056,-0.02,0,9.78,-0.001,-0.002,0.003,25.22,101279,0.08
24058,0.01,-0.03,9.8,0.002,0.001,-0.002,25.2,101284,-0.33
25059,0,0.01,9.82,-0.001,0,0.001,25.25,101276,0.33
